iter	Logloss
0	0.6373259249
1	0.5898460489
2	0.5558751008
3	0.5235228625
4	0.4905101858
5	0.4615623842
6	0.4411922882
7	0.4084550042
8	0.3808748735
9	0.3618701843
10	0.3473270231
11	0.3345080934
12	0.3267224868
13	0.3105356909
14	0.2961867692
15	0.2826538334
16	0.2728585505
17	0.2662089023
18	0.2533620322
19	0.2440041422
20	0.2335167789
21	0.2279720777
22	0.2203569102
23	0.2140080719
24	0.2077301114
25	0.2017047723
26	0.1968426761
27	0.1897342454
28	0.1858224408
29	0.1801522641
30	0.1756370675
31	0.1716889554
32	0.1670635538
33	0.1618847083
34	0.1578015865
35	0.1538790777
36	0.1509612774
37	0.1504577206
38	0.1443114581
39	0.1412932695
40	0.1382217679
41	0.1355469091
42	0.1320546981
43	0.1294152853
44	0.1271412169
45	0.1260635753
46	0.1229527995
47	0.1200030529
48	0.1178803021
49	0.1159438768
50	0.1131630237
51	0.1107293966
52	0.1088863418
53	0.107417855
54	0.1055470832
55	0.1043165138
56	0.1028901168
57	0.101807749
58	0.09931187256
59	0.09755463341
60	0.0958788059
61	0.09391543535
62	0.09282337479
63	0.09134620651
64	0.0900645883
65	0.08915461643
66	0.08786411184
67	0.08648004404
68	0.08500148663
69	0.08358120264
70	0.08248449126
71	0.08143478074
72	0.08040501614
73	0.07917037537
74	0.07804066278
75	0.07703784285
76	0.07622906318
77	0.07455835219
78	0.07279469822
79	0.07159111374
80	0.0701622086
81	0.06926196003
82	0.06872805236
83	0.06801134461
84	0.06742310583
85	0.06674099636
86	0.065820967
87	0.06491292278
88	0.06380824473
89	0.06310575602
90	0.06240635475
91	0.06146334586
92	0.06074987928
93	0.06005653607
94	0.05925531203
95	0.0586079612
96	0.0578426928
97	0.05737950658
98	0.05676860193
99	0.05622667669
100	0.05545207763
101	0.05469374404
102	0.05384461606
103	0.05355350767
104	0.05278819544
105	0.05225737293
106	0.05154060629
107	0.05100555778
108	0.05045214606
109	0.04972268311
110	0.04911609256
111	0.04835082295
112	0.0480212165
113	0.04740702305
114	0.04671058182
115	0.04612351956
116	0.04560207267
117	0.04499529816
118	0.0444440738
119	0.04387369723
120	0.04348758464
121	0.0428499047
122	0.04217559558
123	0.04163472345
124	0.04128916824
125	0.04092627602
126	0.0404099129
127	0.0396795292
128	0.03920908686
129	0.0385514262
130	0.03806554315
131	0.03742778717
132	0.0371122733
133	0.03678447128
134	0.03637548829
135	0.03598625881
136	0.03548787692
137	0.03498173516
138	0.03450083688
139	0.03414498489
140	0.03372420222
141	0.03334212656
142	0.03282364291
143	0.03232824954
144	0.03197238018
145	0.03155949609
146	0.03115068165
147	0.03083211677
148	0.03052870316
149	0.03018587996
150	0.02973457967
151	0.02945245403
152	0.02906644695
153	0.02866742285
154	0.02839501737
155	0.02814197838
156	0.0277222326
157	0.0273447402
158	0.02686732449
159	0.02637376652
160	0.02606415055
161	0.02568965508
162	0.02519485201
163	0.02472133432
164	0.02444929214
165	0.02417703057
166	0.02373618596
167	0.02347005078
168	0.023207202
169	0.02302786487
170	0.0227734247
171	0.02256804322
172	0.02232734888
173	0.02202651941
174	0.02165371878
175	0.02142199686
176	0.02114061529
177	0.02092191626
178	0.02067778463
179	0.0205310637
180	0.02030647615
181	0.02007509947
182	0.0198640037
183	0.01969285275
184	0.0194840034
185	0.01936159227
186	0.01914600265
187	0.0188895
188	0.01863404362
189	0.01833020881
190	0.01812089075
191	0.01796615259
192	0.0178706501
193	0.01759356006
194	0.01742929961
195	0.01720554519
196	0.01695006347
197	0.01677293647
198	0.01661043625
199	0.01642539359
200	0.01629751901
201	0.01616357319
202	0.01593514681
203	0.01573868546
204	0.0155831988
205	0.01543778922
206	0.01529637004
207	0.01515951262
208	0.01495632264
209	0.01482093317
210	0.01470900649
211	0.01460430991
212	0.01452965941
213	0.01434224536
214	0.0142127928
215	0.014104426
216	0.01397374969
217	0.01380272724
218	0.0137024319
219	0.01357670297
220	0.01346837769
221	0.01337599964
222	0.01324470071
223	0.0131347872
224	0.01301553807
225	0.01297265933
226	0.01290579022
227	0.01279523014
228	0.01269073822
229	0.0126076552
230	0.01249229292
231	0.01239665972
232	0.01227860864
233	0.0121827565
234	0.01212155958
235	0.01207210422
236	0.01196803454
237	0.01188332642
238	0.0117801347
239	0.01168413864
240	0.0115550113
241	0.01150144674
242	0.01144050199
243	0.01134631571
244	0.01125542941
245	0.01118346105
246	0.01106659247
247	0.01099981289
248	0.0109379257
249	0.01090542729
250	0.01084657232
251	0.01080172087
252	0.01076774098
253	0.01068865091
254	0.0106345919
255	0.01054419022
256	0.01046389745
257	0.01036367232
258	0.01029687355
259	0.01022537017
260	0.01014013081
261	0.01010573015
262	0.01004321469
263	0.01000162696
264	0.009940893747
265	0.009866189279
266	0.009769935031
267	0.009701464867
268	0.00963343378
269	0.009579212782
270	0.009532852131
271	0.009474559224
272	0.009402118443
273	0.009354157184
274	0.009296103458
275	0.009235095076
276	0.009186425548
277	0.00913683934
278	0.009099369534
279	0.009072155619
280	0.009042362362
281	0.008967048775
282	0.008879817112
283	0.00885303696
284	0.008816847714
285	0.00875707895
286	0.008691146073
287	0.008630779411
288	0.008567823675
289	0.008496773268
290	0.008469264786
291	0.00843675021
292	0.008376868734
293	0.008333467721
294	0.008287952263
295	0.008238461996
296	0.008200509331
297	0.008174679146
298	0.008135693383
299	0.008096025887
